"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alishewanella";"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Halomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Acidovorax";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia";"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus";"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_Nocardioides";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas";"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Cupriavidus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces";"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia";"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides";"Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter";"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium";"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto";"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium";"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus";"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas";"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium";"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium";"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas";"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus";"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"
"GAIN_PreChallenge_NOPAP2";0,0236736386708405;0,267891194794021;0,809549743494682;0,492339580799763;0,172059040925852;0;0,635151189932821;0;0,563664593373584;0,122998901272879;0;1,64034004762315;0,279511996759399;1,08269311936002;0,663607263297392;0,370860918920376;0,203255142717593;1,78982150719505;1,09943015237773;0;0;1,22095757956206;0,705805876612112;0;1,34006017567075;0;0;1,27982485754965;1,99078722989087;0,943272188668498;8,02260401905563;1,75231927726628;1,49894469382299;2,91047113856161;3,67148479879899;9,10850156328787;0,954920674860472;0,989306996112026;3,37972806638127;8,42332220780231;2,18013614028846;4,45637690244586;5,76072145021886;5,37077050640257;9,98081518068149
"GAIN_PreChallenge_NOPAP3";0;0,0724055667630304;0;0,200598812943526;0,108612124445758;0;0;0;0,732137774198781;0,955362958029168;0;0;0;0;0,525090502607586;0;7,47405273817963;1,76012153989662;0,530180828965327;0,727160157544693;0;1,53727397911288;0,607338012483207;0;8,98809210679262;7,92239615410101;0;0,583996634037096;0;0;8,78961234498412;1,07923235289084;0,723850480481387;2,21516180143322;2,64688688084685;1,57753511730846;1,59070111074875;0;1,15262932624771;3,49309307947479;0;4,98864254436501;2,12462229350592;4,54776438752239;10,358038245324
"GAIN_PreChallenge_NOPAP4";0;0,163942107851446;0,187798639435274;1,93837637774716;0,0748913140245698;0;3,01491090669004;0;0,189847606533406;0,83339320551815;0;0,4251344617855;0,511553611620891;0,257820869492103;0,144999013915167;0;0,171187574490983;0,196798394554364;0,212674292344968;0;6,38094026468013;7,387045990774;0,882062179343808;0;6,05928720255818;0;1,96943459783507;0,730101966677114;1,62392743825125;0,500553864200115;1,28631076479356;1,45665059476935;0;2,16862372705661;8,35046956847761;1,82612587902434;0;0;11,4499799292931;1,72839670556936;2,0150401496732;10,563438753577;4,39354110221597;9,39114184589045;3,40536588955447
"GAIN_PreChallenge_NOPAP5";0;0,0439590828492854;0;0,0643540972962654;0;0;0,0780022493200873;0;0,745515024061975;0,671573654744747;6,5576123661786;0,383742250552227;0;0,122072781733294;0,675179282856952;0,152032979526244;0;7,39717265690172;0,189988466667931;0,494621729533098;0,356531583443211;0;0,810976606797194;0;2,5009619600552;0;0,896863695116129;1,21594780244362;2,69939279994425;0,764141240079742;1,49718463819931;1,36256046531538;0,820472155865114;2,05914975131248;9,61872582250441;11,0835899664059;0;1,54904081580906;1,2790330749851;3,76714862497829;0;5,40806879793183;3,03723031851862;11,3813633541521;4,35857746640098
"GAIN_PreChallenge_NOPAP6";0;0,156783118827043;0,45370246074957;0,349558264688719;0,0829136447586894;0;0,267289458815443;0;6,26794510020925;0,611778078302035;0;0,463064735734377;1,37870019501265;0,503121100166583;0,940440850015637;0;0,347208348946352;0;0,423220530684273;7,14539803273084;0,238752922122091;6,84016282213562;1,06081130352558;0;8,11499195153211;0;1,43484543772643;0;1,82041785992055;1,80089509889818;2,11378515045232;2,83905294774825;0;3,5679467504779;8,77534878084872;1,35986571938141;0;0,938338203125896;3,10107307603849;3,96055329999658;1,52895704258097;9,73221625634261;1,3288019304461;5,3900536360473;3,50785259581761
"GAIN_PreChallenge_NOPAP7";0,0594458733198188;0,0258440855493819;0;0,26986904841102;0,277638616144308;0,169532079566125;0,173152673062503;0,098324779628257;1,97922898587201;0,637814751672173;0;1,11311997593135;0,345181642463159;7,53461934366247;0;0,323991655405411;0,175699716397572;0,369838126514908;1,23487035119381;6,79618709151038;0,222789977211613;0;7,98450398170643;0,48890617441765;0;0;0,819239695708811;1,16701796393517;0;0;9,62677300480444;1,74757056994747;3,11275971258658;5,31634131602191;3,92447919835142;7,63390095170468;0;0;2,14635632070289;0;1,4687827111834;11,4446273811819;3,37637300434663;6,35874198324569;4,46138122995275
"GAIN_PreChallenge_NOPAP8";0,0204260901956346;0,100616410695202;0;0,075369859553381;0,217200620315841;0;0,807391726355945;0;0,62570818686272;0,642883824973679;5,62086914355428;0,922260469575354;0,245134216645768;0;0,281040193249181;0;0;0,203888557581301;0,553460838306889;0,407061944255906;0;6,45761106503292;6,69468433357562;0,493065018008786;0,527019124801659;0;1,14339858322594;1,17441274818052;1,9530683607241;8,5752774437561;2,53178180039048;10,2981922006531;0;2,69517955622271;2,82378574112534;9,09732825701625;0;0,898228089201071;1,71937231989083;3,67702834933077;0;6,19468816087465;3,54856550888176;5,82925215257825;4,52022344817878
"GAIN_PreChallenge_NOPAP9";0,0969032908551212;0,257423543724327;0,334481478970454;0,176471888323021;5,91974925277489;0;0,534538046176226;0;0,512797734290229;0,245268276854237;0;0,702428712918056;0;0;1,09865269842303;0;0;0,443136586080732;0,474700413634042;0,656985309792873;0,2707514887936;0;8,53858248477156;0,331331231406483;0,618073551354002;0;0,423281420044516;7,2651727581327;1,55374295387049;1,64162465378598;9,2837846842663;3,70524892279492;1,0459341509963;1,89819634712811;3,23508338041747;2,03835494919696;0;1,85343738045352;1,56124079956321;4,35900479921712;1,64220557437561;11,4262819901427;3,58954158502339;5,76065993569383;4,08877041300382
"EGG.HYDRO_X45_1_CTRL";0;0,113820762568491;0;4,06931211979309;4,06394039190413;0,26529703233074;0;0,0657538018410546;5,39363736464307;0,136926344327125;0,0809690625336671;0,370280322116218;0,690292397262926;0,0948654677601636;0,352320340210518;1,50933592709328;0,871224564707407;0,137307647458431;3,32435211167673;0;7,21612732853445;0,77590010186049;5,11307293561851;4,63301144780915;0;0,231089625127651;0;6,47426680447311;3,04835893995403;1,60069244273353;2,14398106283291;6,76761790893711;2,17436582267979;0,558951937970092;7,36242031766114;4,50000639486737;2,298661074767;6,36077926038631;8,96173905192647;7,90393344392961;3,45929862525007;9,83487137868944;9,3250454682992;9,54315891104232;9,43253162629001
"EGG.HYDRO_X45_2_CTRL";0,0729717812614534;0,193563054933048;0;0,337924542540471;0,163803323834632;5,2813971822669;0,571577990100354;1,04341069192629;0,147983261674459;0,843062819996358;0;0,0962586468664815;0,927647764405022;0,579585174386383;0;0;0,450926324178355;0,509049090858981;1,44791377045944;7,46090834484741;0,746874466984291;7,06711697941179;1,07986433787784;1,45233906187668;0,226766260926013;0,630874090480637;0,272794023650645;7,04633270383377;2,03579512543888;1,86432592308425;1,09805094367079;0;1,45771102781179;1,26204803863923;7,86861016090189;8,18617231271812;0;0,726421007408687;8,4924351019177;8,61253220891711;3,20103369742252;11,0131560525747;11,1809625957157;8,9585217327609;4,38645263663712
