"from"	"to"	"strength"
"42"	"FM"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium"	0,000122593841747547
"43"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	0,00403883057965285
"44"	"additive"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto"	0,0857306739203345
"45"	"tissue"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto"	0,000993281698714079
"46"	"FM"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas"	0,00870588635284606
"47"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas"	0,579403338209734
"48"	"FO"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	0,020795854219303
"49"	"FO"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium"	0,1387581942713
"50"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium"	0,654921122158843
"51"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium"	0,00938751049159272
"52"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium"	0,000560950883777117
"53"	"additive"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	3,71895880980858e-05
"54"	"FO"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	0,0119425805431018
"55"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	0,787625324971462
"56"	"FO"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	0,699447300498241
"57"	"tissue"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	0,00102582245364569
"58"	"FM"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	1,82350603036336e-11
"59"	"additive"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	0,0696124645695433
