"Listeria_monocytogenes";"Pseudomonas_aeruginosa";"Bacillus_subtilis";"Escherichia_coli";"Salmonella_enterica";"Lactobacillus_fermentum";"Enterococcus_faecalis"
"MOCK1";13,8080050493886;9,25565178760208;6,9482554236077;1,12964473701234;5,48534581306353;0,0148443447159089;0,00109260969743782
"MOCK2";13,7965195957847;9,10603223222726;7,09812693806255;1,67604512924825;6,54044836355292;0,00379171694286334;0,00593304538420652
"MOCK3";13,8212309122024;9,02394464786512;6,76159571280428;1,73187298670686;6,32237446385763;0,00568348587203611;0,00332759630551053
"MOCK4";13,8239501620814;9,00456087261915;6,71929560541914;1,7619581122062;6,32341330859657;0,00658619285285672;0,00206801354215432
"MOCK5";13,8172822494603;9,08685274739999;6,80706709461589;1,52504385496101;6,21753215777817;0,0114043051335479;0,000670510954449116
"MOCK6";13,8172879372282;9,08683121875811;6,80713863069928;1,5244378006589;6,21735284592354;0,0117685430102732;0,000494366701618327
"MOCK7";13,8172927492458;9,08686541351598;6,80692640253;1,5255247935229;6,21728751284567;0,0112012961879983;0,000617367810296409
"MOCK8";13,817290593623;9,08682074125947;6,80699031470803;1,52373458993778;6,21748480076501;0,0117224992759289;0,000574468345359535
